,ORIGIN,DEST,DEP_DEL15,Group
240,ATL,MEM,0.20010744023636853,3
241,ATL,MGM,0.15803814713896458,2
242,ATL,MIA,0.285194514413658,4
243,ATL,MKE,0.1944998007174173,2
244,ATL,MLB,0.16029023746701848,2
245,ATL,MLI,0.17684478371501272,2
246,ATL,MLU,0.1108433734939759,1
247,ATL,MOB,0.1699867197875166,2
248,ATL,MSN,0.1335125448028674,1
249,ATL,MSP,0.1922230374174615,2
250,ATL,MSY,0.24765784114052952,3
251,ATL,MTJ,0.22,3
252,ATL,MYR,0.16839378238341968,2
253,ATL,OAJ,0.12690355329949238,1
254,ATL,OAK,0.4473684210526316,5
255,ATL,OGG,0.20634920634920634,3
256,ATL,OKC,0.16134831460674157,2
257,ATL,OMA,0.15115248226950354,2
258,ATL,ONT,0.251779359430605,4
259,ATL,ORD,0.22177055103884372,3
260,ATL,ORF,0.22584493041749504,3
261,ATL,PBI,0.23434579439252337,3
262,ATL,PDX,0.15137956748695003,2
263,ATL,PHL,0.2693538067818298,4
264,ATL,PHX,0.21828454031843864,3
265,ATL,PIT,0.20173010380622838,3
266,ATL,PNS,0.1908910891089109,2
267,ATL,PSP,0.19148936170212766,2
268,ATL,PVD,0.2116650987770461,3
269,ATL,PWM,0.18148820326678766,2
270,ATL,RDU,0.23306689103912495,3
271,ATL,RIC,0.23498766109130792,3
272,ATL,ROA,0.14695652173913043,1
273,ATL,ROC,0.2308411214953271,3
274,ATL,RSW,0.21976672805402087,3
275,ATL,SAN,0.21896853146853146,3
276,ATL,SAT,0.20996657550896383,3
277,ATL,SAV,0.18410351201478742,2
278,ATL,SBN,0.18200620475698034,2
279,ATL,SDF,0.1641041732036398,2
280,ATL,SEA,0.21466953250940354,3
281,ATL,SFO,0.258436688779925,4
282,ATL,SGF,0.1474820143884892,1
283,ATL,SHV,0.16,2
284,ATL,SJC,0.1573170731707317,2
285,ATL,SJU,0.28142783238489394,4
286,ATL,SLC,0.19166148102053515,2
287,ATL,SMF,0.17251755265797392,2
288,ATL,SNA,0.2013888888888889,3
289,ATL,SRQ,0.19589743589743588,2
290,ATL,STL,0.21199557766721946,3
291,ATL,STT,0.15280135823429541,2
292,ATL,STX,0.1891891891891892,2
293,ATL,SWF,0.0,0
294,ATL,SYR,0.21621621621621623,3
295,ATL,TLH,0.13798449612403102,1
296,ATL,TPA,0.2544194597652383,4
297,ATL,TRI,0.13416320885200553,1
298,ATL,TTN,0.5076923076923077,5
299,ATL,TUL,0.12248865845755022,1
300,ATL,TUS,0.18065268065268064,2
301,ATL,TVC,0.07407407407407407,0
302,ATL,TYS,0.1502049944092434,2
303,ATL,VLD,0.11546840958605664,1
304,ATL,VPS,0.1707434052757794,2
305,ATL,XNA,0.10760309278350516,1
306,ATW,ATL,0.09718670076726342,0
307,ATW,AZA,0.2623762376237624,4
308,ATW,BNA,0.18243243243243243,2
309,ATW,CLT,0.034482758620689655,0
310,ATW,DEN,0.229957805907173,3
311,ATW,DTW,0.15424164524421594,2
312,ATW,FLL,0.3283582089552239,5
313,ATW,LAS,0.11842105263157894,1
314,ATW,MSP,0.1264236902050114,1
315,ATW,ORD,0.20039100684261973,3
316,ATW,PDX,0.041666666666666664,0
317,ATW,PGD,0.2972972972972973,4
318,ATW,PIE,0.18620689655172415,2
319,ATW,SAV,0.13333333333333333,1
320,ATW,SFB,0.2064516129032258,3
321,ATW,SRQ,0.20512820512820512,3
322,AUS,ABQ,0.210727969348659,3
323,AUS,AGS,0.0,0
324,AUS,AMA,0.2932551319648094,4
325,AUS,ASE,0.3333333333333333,5
326,AUS,ATL,0.16343742876681103,2
327,AUS,AVL,0.2882882882882883,4
328,AUS,BHM,0.0,0
329,AUS,BNA,0.2270617636558372,3
330,AUS,BOI,0.29850746268656714,4
331,AUS,BOS,0.254,4
332,AUS,BUR,0.2724867724867725,4
333,AUS,BWI,0.23711980136561142,3
334,AUS,BZN,0.2631578947368421,4
335,AUS,CHS,0.26174496644295303,4
336,AUS,CLT,0.2156398104265403,3
337,AUS,CMH,0.17866666666666667,2
338,AUS,CVG,0.20413122721749696,3
339,AUS,DAL,0.20898876404494382,3
340,AUS,DCA,0.19270833333333334,2
341,AUS,DEN,0.2263191354100445,3
342,AUS,DFW,0.23047102151579762,3
343,AUS,DSM,0.3050847457627119,5
344,AUS,DTW,0.18717948717948718,2
345,AUS,ECP,0.24812030075187969,3
346,AUS,EGE,0.35384615384615387,5
347,AUS,ELP,0.2509505703422053,4
348,AUS,EWR,0.23170184104176023,3
349,AUS,FLL,0.3318042813455658,5
350,AUS,FSD,0.0967741935483871,0
351,AUS,GRR,0.25,3
352,AUS,HNL,0.30434782608695654,5
353,AUS,HOU,0.210752688172043,3
354,AUS,HRL,0.15987933634992457,2
355,AUS,IAD,0.16412742382271467,2
356,AUS,IAH,0.18073519400953028,2
357,AUS,IND,0.22646784715750232,3
358,AUS,JAX,0.2693877551020408,4
359,AUS,JFK,0.23670977011494254,3
360,AUS,LAS,0.26519023282226006,4
361,AUS,LAX,0.21172145328719724,3
362,AUS,LBB,0.4253521126760563,5
363,AUS,LGB,0.2647058823529412,4
364,AUS,MAF,0.3143712574850299,5
365,AUS,MCI,0.25830258302583026,4
366,AUS,MCO,0.2879209144269385,4
367,AUS,MDW,0.20753623188405798,3
368,AUS,MEM,0.30927835051546393,5
369,AUS,MIA,0.23827936201063316,3
370,AUS,MSN,0.0,0
371,AUS,MSP,0.16848174247277387,2
372,AUS,MSY,0.25474254742547425,4
373,AUS,MTJ,0.14285714285714285,1
374,AUS,OAK,0.34005037783375314,5
375,AUS,OKC,0.28865979381443296,4
376,AUS,OMA,0.12244897959183673,1
377,AUS,ONT,0.30423280423280424,5
378,AUS,ORD,0.17898612291135654,2
379,AUS,PDX,0.09574468085106383,0
380,AUS,PHL,0.24885844748858446,3
381,AUS,PHX,0.22241784037558684,3
382,AUS,PIT,0.18947368421052632,2
383,AUS,PNS,0.08333333333333333,0
384,AUS,PSP,0.2648648648648649,4
385,AUS,PVU,0.33962264150943394,5
386,AUS,RDU,0.23434593924364538,3
387,AUS,RNO,0.3002754820936639,5
388,AUS,RSW,0.31868131868131866,5
389,AUS,SAF,0.375,5
390,AUS,SAN,0.24417562724014336,3
391,AUS,SDF,0.08108108108108109,0
392,AUS,SEA,0.14772727272727273,1
393,AUS,SFB,0.13333333333333333,1
394,AUS,SFO,0.1733271375464684,2
395,AUS,SJC,0.2257158899494666,3
396,AUS,SJU,0.0,0
397,AUS,SLC,0.17522658610271905,2
398,AUS,SMF,0.28721804511278193,4
399,AUS,SNA,0.23422459893048128,3
400,AUS,SRQ,0.14893617021276595,1
401,AUS,STL,0.20270270270270271,3
402,AUS,TPA,0.2765676567656766,4
403,AUS,TUL,0.2849002849002849,4
404,AUS,TYS,0.23404255319148937,3
405,AUS,VPS,0.3333333333333333,5
406,AVL,ATL,0.13611859838274934,1
407,AVL,AUS,0.21621621621621623,3
408,AVL,BOS,0.2072072072072072,3
409,AVL,BWI,0.17894736842105263,2
410,AVL,CLT,0.18336798336798338,2
411,AVL,DCA,0.20816326530612245,3
412,AVL,DEN,0.1989795918367347,2
413,AVL,DFW,0.24183006535947713,3
414,AVL,EWR,0.10451977401129943,1
415,AVL,EYW,0.16964285714285715,2
416,AVL,FLL,0.3673469387755102,5
417,AVL,HOU,0.1595744680851064,2
418,AVL,LAS,0.2857142857142857,4
419,AVL,LGA,0.197196261682243,2
420,AVL,MDW,0.21052631578947367,3
421,AVL,MIA,0.5310344827586206,5
422,AVL,MSP,0.3548387096774194,5
423,AVL,ORD,0.1838006230529595,2
424,AVL,PBI,0.29838709677419356,4
425,AVL,PGD,0.25301204819277107,4
426,AVL,PHL,0.2420091324200913,3
427,AVL,PHX,0.1509433962264151,2
428,AVL,PIE,0.24545454545454545,3
429,AVL,SFB,0.23180076628352492,3
430,AVL,SRQ,0.26356589147286824,4
431,AVL,VPS,0.18181818181818182,2
432,AVP,CLT,0.17295873573309922,2
433,AVP,EWR,0.1308411214953271,1
434,AVP,ORD,0.198292220113852,2
435,AZA,ATW,0.43349753694581283,5
436,AZA,BIL,0.19375,2
437,AZA,BIS,0.10096153846153846,1
438,AZA,BLI,0.208955223880597,3
439,AZA,BLV,0.2857142857142857,4
440,AZA,BOI,0.26548672566371684,4
441,AZA,BZN,0.20149253731343283,3
442,AZA,CID,0.16019417475728157,2
443,AZA,CVG,0.17857142857142858,2
444,AZA,DSM,0.3657142857142857,5
445,AZA,EUG,0.11627906976744186,1
446,AZA,FAR,0.08940397350993377,0
447,AZA,FCA,0.2361111111111111,3
448,AZA,FNT,0.36363636363636365,5
449,AZA,FSD,0.11935483870967742,1
450,AZA,FWA,0.07407407407407407,0
451,AZA,GEG,0.21621621621621623,3
452,AZA,GFK,0.11428571428571428,1
453,AZA,GJT,0.07692307692307693,0
454,AZA,GRI,0.23684210526315788,3
455,AZA,GRR,0.263681592039801,4
456,AZA,GTF,0.12,1
457,AZA,HOU,0.16964285714285715,2
458,AZA,ICT,0.1794871794871795,2
459,AZA,IDA,0.1708542713567839,2
460,AZA,LAS,0.4090909090909091,5
461,AZA,MFR,0.13333333333333333,1
462,AZA,MLI,0.1643835616438356,2
463,AZA,MOT,0.22093023255813954,3
464,AZA,MSO,0.19230769230769232,2
465,AZA,MSP,0.10256410256410256,1
466,AZA,OMA,0.24731182795698925,3
467,AZA,PDX,0.25,3
468,AZA,PIA,0.16463414634146342,2
469,AZA,PSC,0.224,3
470,AZA,PVU,0.48040638606676345,5
471,AZA,RAP,0.21935483870967742,3
472,AZA,RFD,0.0958904109589041,0
473,AZA,SAN,0.0,0
474,AZA,SBN,0.1,0
475,AZA,SGF,0.18235294117647058,2
476,AZA,SNA,0.1,0
477,AZA,SPI,0.15384615384615385,2
478,AZA,STC,0.03529411764705882,0
479,AZA,TOL,0.06779661016949153,0
480,AZA,TUL,0.35714285714285715,5
481,AZA,TVC,0.05714285714285714,0
482,AZA,XNA,0.3620689655172414,5
483,AZO,DTW,0.09929078014184398,0
484,AZO,ORD,0.19105199516324062,2
485,BDL,ATL,0.15053285968028418,2
486,BDL,BNA,0.21705426356589147,3
487,BDL,BWI,0.17393767705382437,2
488,BDL,CLT,0.18561484918793503,2
489,BDL,DCA,0.12634671890303623,1
490,BDL,DEN,0.17055393586005832,2
491,BDL,DFW,0.18198529411764705,2
492,BDL,DTW,0.1345119139123751,1
493,BDL,FLL,0.18150087260034903,2
494,BDL,IAD,0.15654520917678813,2
495,BDL,IAH,1.0,5
496,BDL,LAS,0.48623853211009177,5
497,BDL,LAX,0.23255813953488372,3
498,BDL,LGA,0.1411901983663944,1
499,BDL,MCO,0.3221300742034046,5
